GEO,FREQ,TIME_PERIOD,POPREF_MEASURE,OBS_VALUE_NIVEAU
2025-ARR-062,A,2023,PCAP,5649.0
2025-ARR-402,A,2023,PMUN,190053.0
2025-ARR-072,A,2023,PCAP,2056.0
2025-ARR-461,A,2023,PCAP,2151.0
2025-ARR-371,A,2023,PMUN,104349.0
2025-ARR-653,A,2023,PCAP,3496.0
2025-COM-01259,A,2023,PMUN,709.0
2025-COM-01216,A,2023,PMUN,886.0
2025-COM-01237,A,2023,PTOT,1704.0
2025-COM-01124,A,2023,PMUN,703.0
2025-COM-01241,A,2023,PCAP,46.0
2025-COM-01196,A,2023,PMUN,1261.0
2025-COM-01110,A,2023,PTOT,159.0
2025-COM-01139,A,2023,PTOT,484.0
2025-COM-01196,A,2023,PTOT,1283.0
2025-COM-02073,A,2023,PMUN,722.0
2025-COM-01456,A,2023,PTOT,77.0
2025-COM-02104,A,2023,PCAP,1.0
2025-COM-02081,A,2023,PCAP,12.0
2025-COM-02069,A,2023,PCAP,3.0
2025-COM-02160,A,2023,PTOT,515.0
2025-COM-02080,A,2023,PTOT,324.0
2025-COM-02049,A,2023,PTOT,767.0
2025-COM-01423,A,2023,PMUN,1257.0
2025-COM-01422,A,2023,PMUN,1425.0
2025-COM-01382,A,2023,PTOT,360.0
2025-COM-01356,A,2023,PMUN,228.0
2025-COM-01284,A,2023,PTOT,746.0
2025-COM-01389,A,2023,PCAP,36.0
2025-COM-01185,A,2023,PCAP,155.0
2025-COM-01288,A,2023,PCAP,61.0
2025-COM-01360,A,2023,PCAP,38.0
2025-COM-01396,A,2023,PTOT,1035.0
2025-DEP-18,A,2023,PCAP,6573.0
2025-REG-11,A,2023,PCAP,108714.0
2025-COM-01029,A,2023,PCAP,11.0
2025-COM-01052,A,2023,PMUN,318.0
2025-DEP-26,A,2023,PCAP,12741.0
2025-COM-01013,A,2023,PCAP,2.0
2025-DEP-39,A,2023,PTOT,266940.0
2025-COM-01023,A,2023,PTOT,79.0
2025-DEP-49,A,2023,PCAP,19992.0
2025-DEP-971,A,2023,PMUN,384160.0
2025-DEP-43,A,2023,PCAP,6921.0
2025-DEP-972,A,2023,PMUN,360630.0
2025-ARR-024,A,2023,PTOT,109031.0
2025-ARR-371,A,2023,PTOT,106391.0
2025-ARR-773,A,2023,PTOT,190368.0
2025-ARR-272,A,2023,PTOT,225282.0
2025-ARR-9712,A,2023,PTOT,202751.0
2025-ARR-9711,A,2023,PTOT,185742.0
2025-ARR-634,A,2023,PMUN,138294.0
2025-ARR-913,A,2023,PMUN,653190.0
2025-ARR-401,A,2023,PTOT,250213.0
2025-ARR-811,A,2023,PMUN,198659.0
2025-ARR-451,A,2023,PTOT,173030.0
2025-ARR-832,A,2023,PTOT,604767.0
2025-COM-02271,A,2023,PCAP,2.0
2025-COM-02313,A,2023,PMUN,420.0
2025-COM-02273,A,2023,PMUN,191.0
2025-COM-02326,A,2023,PMUN,483.0
2025-COM-02184,A,2023,PMUN,329.0
2025-COM-02274,A,2023,PTOT,166.0
2025-ARR-175,A,2023,PMUN,52774.0
2025-ARR-883,A,2023,PCAP,2593.0
2025-ARR-562,A,2023,PCAP,4992.0
2025-ARR-153,A,2023,PCAP,1303.0
2025-ARR-312,A,2023,PMUN,77626.0
2025-ARR-2B2,A,2023,PMUN,93433.0
2025-ARR-323,A,2023,PCAP,1686.0
2025-ARR-751,A,2023,PCAP,15634.0
2025-ARR-081,A,2023,PCAP,3258.0
2025-ARR-9741,A,2023,PCAP,2200.0
2025-ARR-514,A,2023,PCAP,784.0
2025-ARR-133,A,2023,PMUN,1106776.0
2025-COM-02585,A,2023,PMUN,245.0
2025-COM-02661,A,2023,PCAP,2.0
2025-COM-02594,A,2023,PMUN,131.0
2025-COM-02784,A,2023,PCAP,2.0
2025-COM-02580,A,2023,PTOT,803.0
2025-COM-02558,A,2023,PCAP,27.0
2025-COM-02580,A,2023,PCAP,18.0
2025-COM-02610,A,2023,PCAP,14.0
2025-COM-02652,A,2023,PCAP,1.0
2025-COM-02527,A,2023,PTOT,474.0
2025-COM-03138,A,2023,PMUN,3138.0
2025-COM-03071,A,2023,PCAP,7.0
2025-COM-03079,A,2023,PTOT,282.0
2025-COM-03122,A,2023,PCAP,13.0
2025-COM-03082,A,2023,PTOT,6179.0
2025-COM-03131,A,2023,PCAP,7.0
2025-COM-03169,A,2023,PCAP,8.0
2025-COM-03182,A,2023,PTOT,274.0
