CODGEO,PMIMP,DECUC_Q2,DECUC_Q1,DECUC_Q3,BREV,DECUC_D1,DECUC_D9,DECUC_D1D9,DISP_Q2,DISP_Q1,DISP_Q3,TP60,DISP_D1,DISP_D9,DISP_D1D9,PACT,PPEN,PPSOC,PIMPOT,PPAT,NOTE_FILO,C,C_C2SNP,C_C2SP,NOTE_CNAM,A,APPA,ARSAS,AAAH,NOTE_CNAF,annee
01004,"48,2",19920,12250.0,28150.0,27,6360.0,37960.0,6,20420,14730.0,27440.0,"17,5",11080.0,35350.0,"3,2","70,8",26,"7,2","-17,1","13,1",0,13079.0,1261.0,343.0,0.0,3551.0,1322.0,405.0,289.0,0.0,2022
01031,"47,5",19120,12390.0,26860.0,"27,1",6750.0,36890.0,"5,5",19710,14880.0,26350.0,"16,6",11310.0,34490.0,3,"68,8","31,6","7,2","-15,7","8,09999999999999",0,3374.0,286.0,138.0,0.0,821.0,279.0,96.0,63.0,0.0,2022
01034,"46,2",19040,12030.0,26880.0,"28,5",6760.0,36820.0,"5,4",19900,14580.0,26290.0,"17,9",10970.0,35170.0,"3,2","65,5","33,5","7,4","-16,3","9,89999999999999",0,8284.0,524.0,261.0,0.0,1947.0,684.0,199.0,277.0,0.0,2022
01053,"45,9",18270,10580.0,26740.0,"32,5",4800.0,37210.0,"7,8",19180,13710.0,25950.0,"21,7",10120.0,34780.0,"3,4","65,9","33,6","8,3","-16,9","9,09999999999999",0,39918.0,5736.0,2072.0,0.0,10917.0,3849.0,1508.0,1152.0,0.0,2022
01160,"40,9",25580,9650.0,48950.0,"30,7",160.0,72240.0,"454,9",27650,14500.0,47520.0,"21,7",7530.0,68910.0,"9,2","82,4","22,6","2,5",-18,"10,5",0,8036.0,441.0,77.0,0.0,1099.0,311.0,179.0,60.0,0.0,2022
01262,"55,2",22440,15150.0,31030.0,"19,3",8730.0,41350.0,"4,7",22480,16530.0,29570.0,12,12290.0,38480.0,"3,1","80,1","23,3","5,3","-16,9","8,19999999999999",0,6497.0,371.0,130.0,0.0,1376.0,517.0,117.0,73.0,0.0,2022
01283,"39,8",16320,9500.0,23570.0,"37,1",4710.0,32770.0,7,17620,12770.0,23450.0,"26,4",9670.0,31290.0,"3,2","68,2","27,3","8,9","-15,9","11,5",0,23704.0,2727.0,958.0,0.0,5139.0,1685.0,610.0,475.0,0.0,2022
01354,"40,2",27970,11180.0,50620.0,"27,5",220.0,73870.0,"335,8",29460,15950.0,49490.0,"18,4",8740.0,72100.0,"8,3","89,6","18,5","2,2","-16,8","6,49999999999999",0,10405.0,470.0,90.0,0.0,1299.0,358.0,178.0,65.0,0.0,2022
02168,"42,2",16990,9250.0,24880.0,"36,6",3580.0,35300.0,"9,8",18020,12830.0,24290.0,"26,1",9410.0,33010.0,"3,5","67,7","30,2","10,1",-16,8,0,14068.0,2327.0,404.0,0.0,3978.0,1471.0,753.0,410.0,0.0,2022
02173,"36,9",16070,8390.0,23940.0,"39,3",2060.0,33500.0,"16,2",17460,12450.0,23710.0,28,9350.0,31230.0,"3,3","62,6","33,3","11,7","-14,3","6,69999999999999",0,11921.0,2263.0,602.0,0.0,3132.0,1033.0,752.0,361.0,0.0,2022
02304,"28,5",12310,5350.0,20050.0,"51,8",330.0,27960.0,"83,9",15250,11000.0,20600.0,"37,1",8810.0,26480.0,3,"60,6","27,6","18,3","-12,1","5,59999999999999",0,2466.0,722.0,81.0,0.0,977.0,340.0,238.0,157.0,0.0,2022
02381,"29,4",14120,6380.0,21180.0,"46,1",230.0,28490.0,"123,7",15740,11630.0,21220.0,"34,2",8990.0,26960.0,3,"52,3","36,7","15,4","-12,4",8,0,7400.0,2035.0,278.0,0.0,2332.0,751.0,706.0,370.0,0.0,2022
02408,"38,6",15610,7320.0,24000.0,"41,2",1370.0,34040.0,"24,9",17140,12110.0,23640.0,"30,5",9150.0,31650.0,"3,5","62,6","32,9","12,7","-15,2",7,0,24872.0,7097.0,1293.0,0.0,7190.0,2490.0,1693.0,932.0,0.0,2022
02691,38,16040,7850.0,24010.0,"40,1",1180.0,34380.0,29,17350,12420.0,23610.0,"28,1",9220.0,31950.0,"3,5",63,"32,6","12,2","-15,3","7,5",0,49639.0,10681.0,1760.0,0.0,15607.0,5294.0,3788.0,1859.0,0.0,2022
02722,"38,6",15890,7980.0,24690.0,"39,9",2050.0,36170.0,"17,6",17430,12340.0,24060.0,"28,5",9150.0,33950.0,"3,7","62,2","32,7","11,4","-16,1","9,79999999999998",0,25604.0,5125.0,1173.0,0.0,7803.0,2615.0,1610.0,901.0,0.0,2022
02738,"35,6",16480,9360.0,22670.0,"36,1",2880.0,29540.0,"10,3",17640,13200.0,22620.0,24,9870.0,28230.0,"2,9","60,9","34,8","12,1","-12,5","4,70000000000002",0,11748.0,2145.0,341.0,0.0,3366.0,1253.0,794.0,366.0,0.0,2022
02810,"42,8",18670,12420.0,25620.0,"26,9",6930.0,34270.0,"4,9",19370,14870.0,24910.0,"16,3",11390.0,32270.0,"2,8","74,7","25,3",8,"-15,1","7,09999999999999",0,9503.0,853.0,149.0,0.0,2350.0,879.0,316.0,188.0,0.0,2022
0309503310,"42,3",18460,11120.0,26570.0,"30,6",3420.0,37730.0,11,19300,13970.0,25930.0,"20,7",10150.0,35260.0,"3,5","52,6","44,1","8,6","-16,7","11,4",0,34777.0,4389.0,1292.0,0.0,11102.0,3513.0,2003.0,1381.0,0.0,2022
0310103185,"41,9",18590,11360.0,25820.0,"29,5",3750.0,34420.0,"9,2",19390,14100.0,25360.0,"20,4",10360.0,32680.0,"3,2","56,9","40,3","8,7","-15,5","9,59999999999999",0,39815.0,5645.0,1483.0,0.0,11179.0,3698.0,2296.0,1357.0,0.0,2022
03185,"39,9",17710,10060.0,25120.0,"33,1",2620.0,34050.0,13,18650,13420.0,24820.0,"23,2",9970.0,32340.0,"3,2","56,6","39,3",10,"-15,5","9,59999999999999",0,31633.0,5018.0,1329.0,0.0,9841.0,3176.0,2064.0,1246.0,0.0,2022
0318503211,"40,9",18120,10530.0,25620.0,"31,7",3100.0,34650.0,"11,2",18970,13650.0,25190.0,,10090.0,32850.0,"3,3","56,9","39,5","9,5","-15,7","9,8",0,33666.0,5094.0,1362.0,0.0,10334.0,3273.0,2103.0,1443.0,0.0,2022
03190,"41,9",17860,10110.0,25630.0,"33,2",2440.0,35260.0,"14,5",18780,13670.0,25110.0,"22,3",9850.0,33440.0,"3,4","61,3","34,8","10,3","-15,5","9,10000000000001",0,18400.0,2878.0,1098.0,0.0,5993.0,2090.0,1056.0,796.0,0.0,2022
03310,"42,3",18230,10440.0,27000.0,"32,2",2610.0,39440.0,"15,1",19130,13680.0,26350.0,"21,8",9860.0,36770.0,"3,7","49,3","46,2","8,7","-17,2",13,0,23263.0,3087.0,974.0,0.0,8206.0,2509.0,1503.0,1012.0,0.0,2022
04070,"47,2",19940,12380.0,28050.0,"26,7",5350.0,37550.0,7,20230,14570.0,26930.0,"18,3",10790.0,34800.0,"3,2","60,3","38,4","7,8","-16,6","10,1",0,15420.0,1861.0,643.0,0.0,4426.0,1484.0,697.0,652.0,0.0,2022
04112,"45,7",19700,11590.0,29110.0,"29,1",5240.0,41230.0,"7,9",20160,14170.0,28030.0,"20,7",10350.0,38100.0,"3,7","55,7","31,3","6,4","-19,2","25,8",0,21669.0,2705.0,711.0,0.0,5193.0,1907.0,879.0,623.0,0.0,2022
05061,"49,5",20940,13980.0,28730.0,"22,2",7450.0,39380.0,"5,3",21160,15680.0,27660.0,"14,7",11690.0,36490.0,"3,1","64,1","35,9","6,1",-17,"10,9",0,35970.0,3120.0,1032.0,0.0,9174.0,3569.0,1150.0,1063.0,0.0,2022
0602906030,51,20340,12750.0,30050.0,"25,7",6540.0,44280.0,"6,8",20560,14630.0,28260.0,"18,6",10530.0,39460.0,"3,7","63,3",35,"5,4","-20,8","17,1",0,127089.0,9176.0,2920.0,0.0,25925.0,8649.0,4005.0,2441.0,0.0,2022
06033,"54,8",22080,14720.0,29780.0,"20,6",8160.0,39160.0,"4,8",21980,16390.0,28210.0,"13,1",12010.0,35730.0,3,"78,7",24,"5,7","-16,8","8,39999999999999",0,12640.0,733.0,307.0,0.0,2314.0,812.0,193.0,211.0,0.0,2022
06054,"51,1",20350,13080.0,28590.0,"24,8",7070.0,38010.0,"5,4",20440,15240.0,27100.0,"16,7",11270.0,35180.0,"3,1","77,2",24,"6,5","-16,7",9,0,4675.0,341.0,127.0,0.0,913.0,304.0,98.0,87.0,0.0,2022
06069,"54,4",21920,14000.0,31340.0,"22,3",7410.0,44210.0,6,21850,15700.0,29450.0,"15,4",11400.0,39750.0,"3,5","77,5","24,8","5,5","-19,6","11,8",0,51381.0,3339.0,978.0,0.0,10356.0,3409.0,1082.0,1027.0,0.0,2022
06088,51,20130,11560.0,30360.0,"28,8",4840.0,44380.0,"9,2",20320,14070.0,28450.0,"20,8",9980.0,39610.0,4,"71,8","29,7","6,6","-20,1",12,0,381975.0,38189.0,11188.0,0.0,90365.0,26377.0,12080.0,9658.0,0.0,2022
0608806114,51,20150,11580.0,30350.0,"28,7",4870.0,44330.0,"9,1",20340,14090.0,28440.0,"20,7",10010.0,39560.0,4,"71,9","29,6","6,6",-20,"11,9",0,387158.0,38482.0,11285.0,0.0,91457.0,26760.0,12177.0,9759.0,0.0,2022
0608806123,"51,7",20470,11950.0,30570.0,"27,7",5150.0,44320.0,"8,6",20590,14310.0,28600.0,20,10130.0,39560.0,"3,9",72,"29,7","6,5",-20,"11,8",0,414071.0,39743.0,11664.0,0.0,96216.0,28636.0,12599.0,10133.0,0.0,2022
06155,"51,8",20570,13210.0,30350.0,"24,5",6960.0,44560.0,"6,4",20730,14920.0,28650.0,"17,7",10690.0,39940.0,"3,7","70,9","28,5","5,5",-20,"15,1",0,29430.0,1964.0,646.0,0.0,6181.0,2377.0,777.0,501.0,0.0,2022
06157,"57,1",23870,15370.0,35210.0,"19,6",7800.0,51060.0,"6,5",23400,16610.0,32510.0,"14,3",11160.0,45290.0,"4,1","70,3","32,3","4,1","-21,4","14,7",0,18921.0,927.0,319.0,0.0,3348.0,1107.0,362.0,387.0,0.0,2022
07010,"39,8",18050,10630.0,24730.0,32,4530.0,33360.0,"7,4",18820,13650.0,24420.0,"22,2",10160.0,31920.0,"3,1",62,"34,7","8,9","-15,4","9,8",0,16953.0,2147.0,561.0,0.0,4579.0,1482.0,727.0,517.0,0.0,2022
07019,"38,5",17350,10140.0,24690.0,"33,9",4240.0,35450.0,"8,4",18510,13320.0,24420.0,"23,4",9940.0,33430.0,"3,4",58,"36,7","9,1","-16,2","12,4",0,11231.0,1563.0,459.0,0.0,3427.0,1192.0,550.0,398.0,0.0,2022
07186,44,19310,11230.0,27010.0,"29,8",3790.0,36360.0,"9,6",19940,14270.0,26250.0,"19,5",10560.0,34530.0,"3,3","59,7","36,6","9,3","-15,7","10,1",0,9825.0,1205.0,756.0,0.0,2407.0,729.0,354.0,502.0,0.0,2022
07319,"38,5",17580,9920.0,24790.0,"34,1",4010.0,32610.0,"8,1",18440,13240.0,24460.0,"23,9",9740.0,31450.0,"3,2","63,1",33,"9,8","-14,1","8,2",0,7621.0,1104.0,250.0,0.0,1832.0,622.0,312.0,196.0,0.0,2022
08105,39,16290,7840.0,24960.0,"39,7",980.0,35190.0,"35,9",17500,12340.0,24200.0,"28,9",9190.0,32540.0,"3,5","62,8","33,5","12,2","-15,8","7,29999999999998",0,45239.0,10505.0,2479.0,0.0,13887.0,4707.0,3611.0,1645.0,0.0,2022
08362,"38,2",17590,10360.0,24850.0,"32,8",4050.0,33740.0,"8,3",18260,13570.0,24330.0,"22,9",10120.0,31920.0,"3,2","64,5","32,9","9,7","-15,2","8,09999999999999",0,6270.0,867.0,190.0,0.0,1780.0,673.0,333.0,199.0,0.0,2022
08409,"32,1",14840,7000.0,22390.0,"43,5",440.0,31100.0,"71,3",16350,11920.0,22280.0,"31,9",9060.0,29490.0,"3,3","56,6","34,4","15,3","-12,9","6,60000000000001",0,15469.0,3540.0,728.0,0.0,5277.0,1666.0,1506.0,610.0,0.0,2022
09122,"44,3",19620,11660.0,28420.0,"28,4",4320.0,38550.0,"8,9",20160,14270.0,27180.0,20,10270.0,35580.0,"3,5","60,3","37,9","8,2","-16,5","10,1",0,9437.0,1657.0,467.0,0.0,3041.0,973.0,553.0,504.0,0.0,2022
09225,"37,7",17350,9910.0,24860.0,"33,8",3070.0,34480.0,"11,2",18320,13380.0,24410.0,"23,2",10020.0,32200.0,"3,2","62,8","32,8","10,7","-15,1","8,8",0,14122.0,2571.0,580.0,0.0,4353.0,1508.0,955.0,542.0,0.0,2022
09261,"38,2",18820,11250.0,26390.0,"29,9",4480.0,36300.0,"8,1",19340,14180.0,25830.0,19,10480.0,34480.0,"3,3","54,6","41,9","8,9","-15,1","9,69999999999999",0,5581.0,744.0,191.0,0.0,1681.0,587.0,367.0,237.0,0.0,2022
