code_iris,revenu_median,taux_pauvrete,code_arrondissement,annee
751010201,33800.0,18.0,75101,2021
751010202,43760.0,13.0,75101,2021
751010203,36250.0,14.0,75101,2021
751010204,33340.0,17.0,75101,2021
751010301,43160.0,15.0,75101,2021
751010401,50260.0,9.0,75101,2021
751010402,42960.0,13.0,75101,2021
751020601,42350.0,11.0,75102,2021
751020602,42520.0,11.0,75102,2021
751020701,38450.0,15.0,75102,2021
751020702,40240.0,14.0,75102,2021
751020703,38920.0,15.0,75102,2021
751020801,33070.0,22.0,75102,2021
751020802,37130.0,15.0,75102,2021
751020803,35810.0,20.0,75102,2021
751020804,34030.0,18.0,75102,2021
751020805,32990.0,20.0,75102,2021
751030901,36130.0,15.0,75103,2021
751030902,38020.0,15.0,75103,2021
751030903,38210.0,15.0,75103,2021
751030904,31160.0,23.0,75103,2021
751030905,36390.0,17.0,75103,2021
751031001,38100.0,15.0,75103,2021
751031002,42150.0,13.0,75103,2021
751031003,39670.0,14.0,75103,2021
751031004,43640.0,13.0,75103,2021
751031101,43050.0,14.0,75103,2021
751031102,40270.0,17.0,75103,2021
751031103,42960.0,13.0,75103,2021
751031104,44220.0,13.0,75103,2021
751031201,36870.0,18.0,75103,2021
751031202,36150.0,15.0,75103,2021
751031203,33540.0,17.0,75103,2021
751031204,33960.0,19.0,75103,2021
751041301,39270.0,17.0,75104,2021
751041302,37590.0,15.0,75104,2021
751041303,33360.0,19.0,75104,2021
751041401,25120.0,27.0,75104,2021
751041402,35320.0,16.0,75104,2021
751041403,35190.0,17.0,75104,2021
751041404,34390.0,15.0,75104,2021
751041501,33650.0,15.0,75104,2021
751041502,40580.0,15.0,75104,2021
751041503,45960.0,11.0,75104,2021
751041504,40580.0,13.0,75104,2021
751041601,44050.0,15.0,75104,2021
751051701,38680.0,13.0,75105,2021
751051702,41220.0,13.0,75105,2021
751051703,37690.0,12.0,75105,2021
751051704,43520.0,11.0,75105,2021
751051705,40940.0,13.0,75105,2021
751051801,41360.0,11.0,75105,2021
751051802,38710.0,14.0,75105,2021
751051803,37280.0,13.0,75105,2021
751051804,32780.0,18.0,75105,2021
751051805,32890.0,18.0,75105,2021
751051806,34710.0,13.0,75105,2021
751051807,35830.0,9.0,75105,2021
751051808,41960.0,11.0,75105,2021
751051901,40770.0,12.0,75105,2021
751051902,43170.0,13.0,75105,2021
751051903,43540.0,11.0,75105,2021
751051904,52690.0,9.0,75105,2021
751051905,57290.0,11.0,75105,2021
751051906,44740.0,9.0,75105,2021
751051907,42960.0,11.0,75105,2021
751051908,38130.0,15.0,75105,2021
751052001,35120.0,16.0,75105,2021
751052002,51390.0,11.0,75105,2021
751052003,33270.0,19.0,75105,2021
751052004,38680.0,15.0,75105,2021
751062101,44890.0,13.0,75106,2021
751062102,37510.0,19.0,75106,2021
751062103,40540.0,15.0,75106,2021
751062201,54270.0,9.0,75106,2021
751062202,47230.0,11.0,75106,2021
751062203,41930.0,13.0,75106,2021
751062204,45670.0,11.0,75106,2021
751062301,55240.0,7.0,75106,2021
751062302,57450.0,9.0,75106,2021
751062303,50740.0,13.0,75106,2021
751062304,56040.0,11.0,75106,2021
751062305,51740.0,11.0,75106,2021
751062306,49040.0,10.0,75106,2021
751062307,50140.0,11.0,75106,2021
751062308,44270.0,11.0,75106,2021
751062309,39660.0,15.0,75106,2021
751062310,47770.0,11.0,75106,2021
751062311,56290.0,9.0,75106,2021
751062401,42290.0,13.0,75106,2021
751062402,44840.0,17.0,75106,2021
751072501,61170.0,9.0,75107,2021
751072502,60220.0,9.0,75107,2021
751072503,50930.0,15.0,75107,2021
751072504,50500.0,13.0,75107,2021
751072505,51420.0,11.0,75107,2021
751072506,49130.0,12.0,75107,2021
751072601,55100.0,11.0,75107,2021
751072602,56170.0,9.0,75107,2021
751072604,58780.0,7.0,75107,2021
751072701,46930.0,10.0,75107,2021
